Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
6075015802,"Census Tract 158.02, San Francisco County, California",ACSSF,ca,140,0,9941,,,,,6,75,,,15802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015802,Census Tract 158.02,,,,3589,54441.28,0.065924244
6075015900,"Census Tract 159, San Francisco County, California",ACSSF,ca,140,0,9942,,,,,6,75,,,15900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075015900,Census Tract 159,,,,4829,42314.02,0.114122923
6075016000,"Census Tract 160, San Francisco County, California",ACSSF,ca,140,0,9943,,,,,6,75,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016000,Census Tract 160,,,,2498,41072.04,0.060819973
6075016101,"Census Tract 161.01, San Francisco County, California",ACSSF,ca,140,0,9944,,,,,6,75,,,16101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016101,Census Tract 161.01,,,,2295,48432.49,0.047385548
6075016102,"Census Tract 161.02, San Francisco County, California",ACSSF,ca,140,0,9945,,,,,6,75,,,16102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016102,Census Tract 161.02,,,,2555,26881.5,0.095046772
6075016200,"Census Tract 162, San Francisco County, California",ACSSF,ca,140,0,9946,,,,,6,75,,,16200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016200,Census Tract 162,,,,3365,31893.84,0.10550628
6075016300,"Census Tract 163, San Francisco County, California",ACSSF,ca,140,0,9947,,,,,6,75,,,16300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016300,Census Tract 163,,,,4423,46592.52,0.094929397
6075016400,"Census Tract 164, San Francisco County, California",ACSSF,ca,140,0,9948,,,,,6,75,,,16400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016400,Census Tract 164,,,,4262,35711.95,0.119343796
6075016500,"Census Tract 165, San Francisco County, California",ACSSF,ca,140,0,9949,,,,,6,75,,,16500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016500,Census Tract 165,,,,5279,36908.34,0.143030006
6075016601,"Census Tract 166.01, San Francisco County, California",ACSSF,ca,140,0,9950,,,,,6,75,,,16601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016601,Census Tract 166.01,,,,3180,40336.57,0.078836659
6075016602,"Census Tract 166.02, San Francisco County, California",ACSSF,ca,140,0,9951,,,,,6,75,,,16602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016602,Census Tract 166.02,,,,2498,46551.28,0.053661252
6075016700,"Census Tract 167, San Francisco County, California",ACSSF,ca,140,0,9952,,,,,6,75,,,16700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075016700,Census Tract 167,,,,5427,28644.69,0.189459179
