FIPS,Geo_QName,Geo_FILEID,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Median Household Income
06075023102,"Census Tract 231.02, San Francisco County, California",ACSSF,140,0,10003,06,075,23102,14000US06075023102,Census Tract 231.02,,41434
06075023103,"Census Tract 231.03, San Francisco County, California",ACSSF,140,0,10004,06,075,23103,14000US06075023103,Census Tract 231.03,,27946
06075023200,"Census Tract 232, San Francisco County, California",ACSSF,140,0,10005,06,075,23200,14000US06075023200,Census Tract 232,,107833
06075023300,"Census Tract 233, San Francisco County, California",ACSSF,140,0,10006,06,075,23300,14000US06075023300,Census Tract 233,,67279
06075023400,"Census Tract 234, San Francisco County, California",ACSSF,140,0,10007,06,075,23400,14000US06075023400,Census Tract 234,,74871
06075025100,"Census Tract 251, San Francisco County, California",ACSSF,140,0,10008,06,075,25100,14000US06075025100,Census Tract 251,,151429
06075025200,"Census Tract 252, San Francisco County, California",ACSSF,140,0,10009,06,075,25200,14000US06075025200,Census Tract 252,,145000
06075025300,"Census Tract 253, San Francisco County, California",ACSSF,140,0,10010,06,075,25300,14000US06075025300,Census Tract 253,,156741
06075025401,"Census Tract 254.01, San Francisco County, California",ACSSF,140,0,10011,06,075,25401,14000US06075025401,Census Tract 254.01,,154583
06075025402,"Census Tract 254.02, San Francisco County, California",ACSSF,140,0,10012,06,075,25402,14000US06075025402,Census Tract 254.02,,167300
06075025403,"Census Tract 254.03, San Francisco County, California",ACSSF,140,0,10013,06,075,25403,14000US06075025403,Census Tract 254.03,,146354
06075025501,"Census Tract 255.01, San Francisco County, California",ACSSF,140,0,10014,06,075,25501,14000US06075025501,Census Tract 255.01,,126821
06075025502,"Census Tract 255.02, San Francisco County, California",ACSSF,140,0,10015,06,075,25502,14000US06075025502,Census Tract 255.02,,166486
06075025600,"Census Tract 256, San Francisco County, California",ACSSF,140,0,10016,06,075,25600,14000US06075025600,Census Tract 256,,115000
06075025701,"Census Tract 257.01, San Francisco County, California",ACSSF,140,0,10017,06,075,25701,14000US06075025701,Census Tract 257.01,,111333
06075025702,"Census Tract 257.02, San Francisco County, California",ACSSF,140,0,10018,06,075,25702,14000US06075025702,Census Tract 257.02,,97717
06075025800,"Census Tract 258, San Francisco County, California",ACSSF,140,0,10019,06,075,25800,14000US06075025800,Census Tract 258,,80682
06075025900,"Census Tract 259, San Francisco County, California",ACSSF,140,0,10020,06,075,25900,14000US06075025900,Census Tract 259,,128676
06075026001,"Census Tract 260.01, San Francisco County, California",ACSSF,140,0,10021,06,075,26001,14000US06075026001,Census Tract 260.01,,104406
06075026002,"Census Tract 260.02, San Francisco County, California",ACSSF,140,0,10022,06,075,26002,14000US06075026002,Census Tract 260.02,,126615
06075026003,"Census Tract 260.03, San Francisco County, California",ACSSF,140,0,10023,06,075,26003,14000US06075026003,Census Tract 260.03,,96563
06075026004,"Census Tract 260.04, San Francisco County, California",ACSSF,140,0,10024,06,075,26004,14000US06075026004,Census Tract 260.04,,103152
06075026100,"Census Tract 261, San Francisco County, California",ACSSF,140,0,10025,06,075,26100,14000US06075026100,Census Tract 261,,108544
06075026201,"Census Tract 262.01, San Francisco County, California",ACSSF,140,0,10026,06,075,26201,14000US06075026201,Census Tract 262.01,,115417
06075026202,"Census Tract 262.02, San Francisco County, California",ACSSF,140,0,10027,06,075,26202,14000US06075026202,Census Tract 262.02,,113403
06075026301,"Census Tract 263.01, San Francisco County, California",ACSSF,140,0,10028,06,075,26301,14000US06075026301,Census Tract 263.01,,98375
06075026302,"Census Tract 263.02, San Francisco County, California",ACSSF,140,0,10029,06,075,26302,14000US06075026302,Census Tract 263.02,,87228
06075026303,"Census Tract 263.03, San Francisco County, California",ACSSF,140,0,10030,06,075,26303,14000US06075026303,Census Tract 263.03,,76210
06075026401,"Census Tract 264.01, San Francisco County, California",ACSSF,140,0,10031,06,075,26401,14000US06075026401,Census Tract 264.01,,71042
06075026402,"Census Tract 264.02, San Francisco County, California",ACSSF,140,0,10032,06,075,26402,14000US06075026402,Census Tract 264.02,,115117
06075026403,"Census Tract 264.03, San Francisco County, California",ACSSF,140,0,10033,06,075,26403,14000US06075026403,Census Tract 264.03,,74792
06075026404,"Census Tract 264.04, San Francisco County, California",ACSSF,140,0,10034,06,075,26404,14000US06075026404,Census Tract 264.04,,76000
06075030101,"Census Tract 301.01, San Francisco County, California",ACSSF,140,0,10035,06,075,30101,14000US06075030101,Census Tract 301.01,,135791
06075030102,"Census Tract 301.02, San Francisco County, California",ACSSF,140,0,10036,06,075,30102,14000US06075030102,Census Tract 301.02,,183272
06075030201,"Census Tract 302.01, San Francisco County, California",ACSSF,140,0,10037,06,075,30201,14000US06075030201,Census Tract 302.01,,115898
06075030202,"Census Tract 302.02, San Francisco County, California",ACSSF,140,0,10038,06,075,30202,14000US06075030202,Census Tract 302.02,,121831
06075030301,"Census Tract 303.01, San Francisco County, California",ACSSF,140,0,10039,06,075,30301,14000US06075030301,Census Tract 303.01,,161495
06075030302,"Census Tract 303.02, San Francisco County, California",ACSSF,140,0,10040,06,075,30302,14000US06075030302,Census Tract 303.02,,176364
06075030400,"Census Tract 304, San Francisco County, California",ACSSF,140,0,10041,06,075,30400,14000US06075030400,Census Tract 304,,127632
06075030500,"Census Tract 305, San Francisco County, California",ACSSF,140,0,10042,06,075,30500,14000US06075030500,Census Tract 305,,162218
06075030600,"Census Tract 306, San Francisco County, California",ACSSF,140,0,10043,06,075,30600,14000US06075030600,Census Tract 306,,200625
06075030700,"Census Tract 307, San Francisco County, California",ACSSF,140,0,10044,06,075,30700,14000US06075030700,Census Tract 307,,172417
06075030800,"Census Tract 308, San Francisco County, California",ACSSF,140,0,10045,06,075,30800,14000US06075030800,Census Tract 308,,171250
06075030900,"Census Tract 309, San Francisco County, California",ACSSF,140,0,10046,06,075,30900,14000US06075030900,Census Tract 309,,166757
06075031000,"Census Tract 310, San Francisco County, California",ACSSF,140,0,10047,06,075,31000,14000US06075031000,Census Tract 310,,166528
06075031100,"Census Tract 311, San Francisco County, California",ACSSF,140,0,10048,06,075,31100,14000US06075031100,Census Tract 311,,162348
06075031201,"Census Tract 312.01, San Francisco County, California",ACSSF,140,0,10049,06,075,31201,14000US06075031201,Census Tract 312.01,,87827
06075031202,"Census Tract 312.02, San Francisco County, California",ACSSF,140,0,10050,06,075,31202,14000US06075031202,Census Tract 312.02,,127981
06075031301,"Census Tract 313.01, San Francisco County, California",ACSSF,140,0,10051,06,075,31301,14000US06075031301,Census Tract 313.01,,94740
06075031302,"Census Tract 313.02, San Francisco County, California",ACSSF,140,0,10052,06,075,31302,14000US06075031302,Census Tract 313.02,,113304
06075031401,"Census Tract 314.01, San Francisco County, California",ACSSF,140,0,10053,06,075,31401,14000US06075031401,Census Tract 314.01,,91806
06075031402,"Census Tract 314.02, San Francisco County, California",ACSSF,140,0,10054,06,075,31402,14000US06075031402,Census Tract 314.02,,127351
06075032601,"Census Tract 326.01, San Francisco County, California",ACSSF,140,0,10055,06,075,32601,14000US06075032601,Census Tract 326.01,,125313
06075032602,"Census Tract 326.02, San Francisco County, California",ACSSF,140,0,10056,06,075,32602,14000US06075032602,Census Tract 326.02,,130431
06075032700,"Census Tract 327, San Francisco County, California",ACSSF,140,0,10057,06,075,32700,14000US06075032700,Census Tract 327,,146131
06075032801,"Census Tract 328.01, San Francisco County, California",ACSSF,140,0,10058,06,075,32801,14000US06075032801,Census Tract 328.01,,124840
06075032802,"Census Tract 328.02, San Francisco County, California",ACSSF,140,0,10059,06,075,32802,14000US06075032802,Census Tract 328.02,,118542
06075032901,"Census Tract 329.01, San Francisco County, California",ACSSF,140,0,10060,06,075,32901,14000US06075032901,Census Tract 329.01,,139526
06075032902,"Census Tract 329.02, San Francisco County, California",ACSSF,140,0,10061,06,075,32902,14000US06075032902,Census Tract 329.02,,101719
06075033001,"Census Tract 330.01, San Francisco County, California",ACSSF,140,0,10062,06,075,33001,14000US06075033001,Census Tract 330.01,,128464
06075033002,"Census Tract 330.02, San Francisco County, California",ACSSF,140,0,10063,06,075,33002,14000US06075033002,Census Tract 330.02,,202737
06075033100,"Census Tract 331, San Francisco County, California",ACSSF,140,0,10064,06,075,33100,14000US06075033100,Census Tract 331,,150500
06075033201,"Census Tract 332.01, San Francisco County, California",ACSSF,140,0,10065,06,075,33201,14000US06075033201,Census Tract 332.01,,58750
06075033203,"Census Tract 332.03, San Francisco County, California",ACSSF,140,0,10066,06,075,33203,14000US06075033203,Census Tract 332.03,,54854
06075033204,"Census Tract 332.04, San Francisco County, California",ACSSF,140,0,10067,06,075,33204,14000US06075033204,Census Tract 332.04,,99205
06075035101,"Census Tract 351.01, San Francisco County, California",ACSSF,140,0,10068,06,075,35101,14000US06075035101,Census Tract 351.01,,113000
06075035102,"Census Tract 351.02, San Francisco County, California",ACSSF,140,0,10069,06,075,35102,14000US06075035102,Census Tract 351.02,,168897
06075035201,"Census Tract 352.01, San Francisco County, California",ACSSF,140,0,10070,06,075,35201,14000US06075035201,Census Tract 352.01,,118902
06075035202,"Census Tract 352.02, San Francisco County, California",ACSSF,140,0,10071,06,075,35202,14000US06075035202,Census Tract 352.02,,93622
06075035300,"Census Tract 353, San Francisco County, California",ACSSF,140,0,10072,06,075,35300,14000US06075035300,Census Tract 353,,133947
06075035400,"Census Tract 354, San Francisco County, California",ACSSF,140,0,10073,06,075,35400,14000US06075035400,Census Tract 354,,122050
06075040100,"Census Tract 401, San Francisco County, California",ACSSF,140,0,10074,06,075,40100,14000US06075040100,Census Tract 401,,132976
06075040200,"Census Tract 402, San Francisco County, California",ACSSF,140,0,10075,06,075,40200,14000US06075040200,Census Tract 402,,140227
06075042601,"Census Tract 426.01, San Francisco County, California",ACSSF,140,0,10076,06,075,42601,14000US06075042601,Census Tract 426.01,,101806
06075042602,"Census Tract 426.02, San Francisco County, California",ACSSF,140,0,10077,06,075,42602,14000US06075042602,Census Tract 426.02,,147708
06075042700,"Census Tract 427, San Francisco County, California",ACSSF,140,0,10078,06,075,42700,14000US06075042700,Census Tract 427,,106387
